id,lat,lon
2075935638,56.5524855,11.1870308
2275453857,51.447891,1.0815202
2275453867,51.4488328,1.0915283
2275453871,51.4499019,1.1014255
2275453876,51.4509898,1.111406
2275453881,51.4519501,1.1213965
2275453883,51.4529382,1.1314316
2275453884,51.4528513,1.0751798
2275453885,51.4538932,1.0852952
2275453886,51.4548983,1.0952983
2275453887,51.455854,1.1052386
2275453888,51.4564179,1.0708321
2275453889,51.4568628,1.1152406
2275453890,51.4579238,1.1251686
2275453891,51.4586092,1.088205
2275453893,51.458913,1.0789539
2275453894,51.4609012,1.0989521
2275453895,51.4618552,1.1088821
2275453896,51.4628613,1.118927
2275453897,51.462786,1.0628195
2275453899,51.4638445,1.0727221
2275453900,51.4652261,1.0829836
2275453901,51.4658677,1.0927106
2275453902,51.467152,1.1022642
2275453903,51.4672529,1.1134482
2275453904,51.4677899,1.0567047
2275453906,51.4687898,1.0665117
2275453909,51.4698299,1.0764592
2275453913,51.4708445,1.0864164
2275453917,51.4718396,1.0963502
2275453920,51.4728734,1.1062879
2275546852,51.7080308,1.2061225
2275546859,51.7114408,1.2028954
2275546865,51.7122206,1.2170744
2275546871,51.7147871,1.200122
2275546883,51.715711,1.2139298
2275546893,51.7165093,1.2280777
2275546904,51.7183214,1.1970235
2275546915,51.7191275,1.211003
2275546936,51.7200035,1.2248472
2275546947,51.7207585,1.2389222
2275546959,51.7217868,1.194115
2275546968,51.7226268,1.207941
2275546978,51.723417,1.2219452
2275546988,51.724255,1.2358727
2275546997,51.725024,1.2497785
2275547004,51.7251928,1.1910992
2275547012,51.7260195,1.2049713
2275547020,51.7268442,1.2190099
2275547028,51.7276809,1.2329055
2275547034,51.7286539,1.188151
2275547041,51.728481,1.2468303
2275547046,51.7293136,1.2607818
2275547051,51.7294671,1.2018976
2275547059,51.7303303,1.2158985
2275547066,51.7311928,1.2299487
2275547071,51.7319377,1.2438573
2275547077,51.7328028,1.2578583
2275547083,51.7329051,1.1990072
2275547089,51.7335629,1.2717519
2275547094,51.7337523,1.212947
2275547116,51.7345602,1.2269296
2275547124,51.7354153,1.2408233
2275547128,51.736204,1.2548242
2275547136,51.7371787,1.2099248
2275547148,51.7370458,1.268662
2275547157,51.7379866,1.2239107
2275547166,51.7378405,1.2826361
2275547177,51.7388184,1.2378321
2275547191,51.7396395,1.2518116
2275547202,51.7414578,1.2209657
2275547213,51.7413496,1.2796943
2275547230,51.7421554,1.2936275
2275547240,51.7422823,1.2348925
2275547250,51.7430708,1.2489245
2275547259,51.7455752,1.2906149
2275547268,51.7457685,1.2318188
2275547283,51.7464772,1.245869
2275547293,51.7499672,1.2430033
2276845100,51.5785462,1.4576231
2276845104,51.5976721,1.4242351
2276845107,51.6044291,1.4318021
2276845110,51.612254,1.4183653
2276845113,51.5758516,1.5288299
2276845116,51.6336881,1.4103527
2276845119,51.5749548,1.5524366
2276845123,51.5778993,1.5690465
2276845126,51.6507718,1.4342919
2276845130,51.6241178,1.5714078
2276845133,51.65698,1.5551284
2276845136,51.6744988,1.5437021
2276845148,51.5767418,1.5050598
2276845151,51.5776181,1.4815043
2276845154,51.5788068,1.5453702
2276845157,51.5797042,1.5216504
2276845161,51.5805679,1.4979741
2276845166,51.5813949,1.474176
2276845171,51.5817139,1.5619
2276845177,51.5820773,1.4503547
2276845182,51.5826166,1.5382739
2276845188,51.5836063,1.5145561
2276845193,51.5847109,1.4902988
2276845198,51.5853041,1.4671696
2276845205,51.5855839,1.5549467
2276845209,51.5862002,1.4433705
2276845212,51.5864812,1.5311264
2276845215,51.5874138,1.5071958
2276845218,51.5882162,1.4838637
2276845222,51.589162,1.4600539
2276845225,51.5894496,1.5477798
2276845228,51.5899636,1.436367
2276845231,51.5903449,1.5240097
2276845233,51.5911904,1.500434
2276845236,51.5921176,1.4767673
2276845238,51.5923866,1.5643695
2276845241,51.5929834,1.452946
2276845246,51.5932176,1.5406516
2276845251,51.5938403,1.4293412
2276845254,51.5941844,1.5170256
2276845256,51.5950345,1.4933183
2276845261,51.5958938,1.4695086
2276845263,51.5961615,1.5572741
2276845266,51.5968028,1.4458304
2276845268,51.5971967,1.5333735
2276845272,51.5979717,1.50988
2276845275,51.5989,1.4860799
2276845277,51.5997513,1.4625031
2276845280,51.6000509,1.5501392
